CustomerID,CustomerName,Product,CreditTier,FICO,LoanBalance,CurrentRate,LoanTermMonths,MonthsRemaining,OriginationDate,LastPaymentDate,MissedPayments,State,RelationshipMgr
CUST-00001,Patricia Nelson,Indirect Auto,Tier 5 - Deep Sub,562,49493.03,14.89,48,17,2025-01-03,2026-05-10,0,TX,Linda Cho
CUST-00002,Fatima Kim,Indirect Auto,Tier 3 - Near Prime,661,18959.65,8.45,36,15,2025-02-13,2026-05-14,0,KY,Linda Cho
CUST-00003,Michael Lopez,Indirect Auto,Tier 1 - Super Prime,766,25415.03,5.27,48,16,2025-01-26,2026-05-28,0,OK,Anita Patel
CUST-00004,Mohammed Thomas,Direct Auto,Tier 4 - Poor,572,48783.91,11.18,36,27,2024-03-03,2026-05-05,0,SC,Linda Cho
CUST-00005,Mohammed Anderson,Indirect Auto,Tier 3 - Near Prime,666,51384.1,8.34,36,17,2024-12-25,2026-05-23,0,VA,Anita Patel
CUST-00006,Karen Moore,Indirect Auto,Tier 3 - Near Prime,686,47109.22,8.59,36,13,2025-04-29,2026-05-26,0,MN,Anita Patel
CUST-00007,Priya Hernandez,Indirect Auto,Tier 3 - Near Prime,667,54308.16,8.79,60,28,2024-02-05,2026-05-02,1,CO,James Okafor
CUST-00008,Carlos Adams,Business Banking,Prime Business,744,944761.11,9.82,84,23,2024-06-23,2026-05-14,0,VA,Marcus Webb
CUST-00009,Robert Green,Indirect Auto,Tier 1 - Super Prime,810,34610.95,5.88,36,10,2025-07-30,2026-05-06,0,WA,Sarah Mitchell
CUST-00010,Karen Ali,Business Banking,Standard Business,715,540257.53,10.54,120,116,2016-10-29,2026-05-08,0,NY,Anita Patel
CUST-00011,Michael Singh,Business Banking,High Risk Business,620,934761.23,12.96,120,118,2016-09-04,2026-05-07,0,OR,Sarah Mitchell
CUST-00012,Priya Roberts,Indirect Auto,Tier 4 - Sub Prime,628,27434.83,10.77,48,37,2023-04-18,2026-05-15,1,CA,Linda Cho
CUST-00013,Robert Martinez,Direct Auto,Tier 2 - Good,707,19367.14,5.53,48,39,2023-03-16,2026-05-08,0,IL,James Okafor
CUST-00014,Lisa Adams,Indirect Auto,Tier 3 - Near Prime,685,36660.43,8.29,72,30,2023-11-19,2026-05-08,0,MN,Anita Patel
CUST-00015,Thomas Smith,Business Banking,Standard Business,712,930397.98,11.2,60,20,2024-10-08,2026-05-13,0,FL,Linda Cho
CUST-00016,William Perez,Indirect Auto,Tier 5 - Deep Sub,584,59325.2,14.6,60,7,2025-10-25,2026-05-10,0,GA,James Okafor
CUST-00017,Linda Miller,Business Banking,High Risk Business,628,233935.3,13.23,120,61,2021-05-14,2026-05-17,1,TX,James Okafor
CUST-00018,Sarah Jones,Direct Auto,Tier 4 - Poor,605,19919.38,10.9,48,37,2023-05-04,2026-05-26,0,MA,Sarah Mitchell
CUST-00019,Omar Perez,Indirect Auto,Tier 5 - Deep Sub,575,44128.69,14.3,36,8,2025-09-06,2026-05-24,0,OH,James Okafor
CUST-00020,Omar Wilson,Indirect Auto,Tier 4 - Sub Prime,634,27738.39,10.8,72,36,2023-05-22,2026-05-17,0,OH,Anita Patel
CUST-00021,Luca Anderson,Indirect Auto,Tier 5 - Deep Sub,579,39750.82,14.95,36,23,2024-06-22,2026-05-16,0,TX,Sarah Mitchell
CUST-00022,David Garcia,Indirect Auto,Tier 4 - Sub Prime,645,9111.28,11.19,36,18,2024-11-07,2026-05-03,0,AZ,Sarah Mitchell
CUST-00023,Ivan Sharma,Direct Auto,Tier 3 - Fair,683,17255.55,8.54,60,18,2024-12-03,2026-05-10,0,IA,Linda Cho
CUST-00024,Aisha Jones,Indirect Auto,Tier 1 - Super Prime,784,42269.56,5.59,36,7,2025-10-17,2026-05-23,0,CT,Marcus Webb
CUST-00025,Lisa Miller,Direct Auto,Tier 3 - Fair,695,14464.81,8.0,60,42,2022-11-23,2026-05-11,0,CT,Marcus Webb
CUST-00026,Charles Roberts,Direct Auto,Tier 4 - Poor,609,58382.76,11.03,48,20,2024-10-02,2026-05-09,0,NC,Linda Cho
CUST-00027,Richard Carter,Indirect Auto,Tier 1 - Super Prime,766,54760.89,5.74,36,3,2026-02-26,2026-05-11,2,MO,James Okafor
CUST-00028,Carlos Martinez,Indirect Auto,Tier 4 - Sub Prime,607,9514.63,11.46,48,37,2023-05-06,2026-05-13,0,TX,Anita Patel
CUST-00029,Ana Wilson,Direct Auto,Tier 4 - Poor,570,58935.48,11.05,48,46,2022-08-17,2026-05-20,0,IA,Marcus Webb
CUST-00030,Sarah Kim,Indirect Auto,Tier 4 - Sub Prime,640,57884.97,10.94,36,14,2025-03-27,2026-05-06,1,PA,Linda Cho
CUST-00031,Thomas Moore,Business Banking,High Risk Business,589,1724256.84,12.89,60,18,2024-11-23,2026-05-20,0,CA,Marcus Webb
CUST-00032,Raj Johnson,Business Banking,Standard Business,664,593275.97,11.04,60,55,2021-11-03,2026-05-15,0,NY,Anita Patel
CUST-00033,Sofia Davis,Indirect Auto,Tier 3 - Near Prime,685,7295.43,8.44,72,47,2022-07-11,2026-05-18,0,WA,Sarah Mitchell
CUST-00034,Joseph Scott,Indirect Auto,Tier 3 - Near Prime,680,7663.19,8.6,72,3,2026-02-05,2026-05-14,0,AZ,Linda Cho
CUST-00035,Christopher Martinez,Direct Auto,Tier 2 - Good,710,44803.25,5.86,36,22,2024-07-19,2026-05-18,0,OH,James Okafor
CUST-00036,Lisa Chen,Business Banking,Prime Business,753,1508862.39,9.57,60,45,2022-09-07,2026-05-14,0,OH,James Okafor
CUST-00037,Richard Garcia,Direct Auto,Tier 1 - Excellent,788,31507.16,5.14,48,35,2023-06-18,2026-05-01,0,MI,Sarah Mitchell
CUST-00038,David Patel,Direct Auto,Tier 4 - Poor,597,54105.41,11.01,48,46,2022-07-26,2026-05-25,0,TN,Sarah Mitchell
CUST-00039,James Miller,Indirect Auto,Tier 1 - Super Prime,783,29866.46,5.7,48,47,2022-07-09,2026-05-24,0,LA,James Okafor
CUST-00040,William Mitchell,Indirect Auto,Tier 4 - Sub Prime,640,53246.59,11.07,72,9,2025-08-05,2026-05-04,0,MN,Sarah Mitchell
CUST-00041,Charles Patel,Direct Auto,Tier 1 - Excellent,776,41759.14,4.82,72,60,2021-06-03,2026-05-04,0,OR,Anita Patel
CUST-00042,Patricia Martinez,Business Banking,Prime Business,740,516529.43,9.46,84,15,2025-02-28,2026-05-23,0,IL,Marcus Webb
CUST-00043,Linda Hernandez,Business Banking,Prime Business,757,347970.27,9.69,60,10,2025-07-25,2026-05-14,0,OR,James Okafor
CUST-00044,James Lopez,Business Banking,Prime Business,777,1188954.86,9.36,120,8,2025-09-09,2026-05-13,0,MI,James Okafor
CUST-00045,Carlos Roberts,Business Banking,Standard Business,717,1507655.55,10.8,120,108,2017-07-10,2026-05-16,0,CA,James Okafor
CUST-00046,Maria Garcia,Direct Auto,Tier 1 - Excellent,757,48450.88,4.75,72,19,2024-10-21,2026-05-31,1,CO,James Okafor
CUST-00047,Chen Kim,Indirect Auto,Tier 1 - Super Prime,786,15903.74,5.74,60,27,2024-02-27,2026-05-21,0,LA,James Okafor
CUST-00048,David Johnson,Direct Auto,Tier 4 - Poor,591,33218.41,11.07,36,25,2024-05-09,2026-05-07,2,GA,Marcus Webb
CUST-00049,Mohammed Anderson,Indirect Auto,Tier 4 - Sub Prime,628,19312.7,11.07,72,17,2024-12-31,2026-05-17,0,WI,Sarah Mitchell
CUST-00050,Chen Adams,Indirect Auto,Tier 4 - Sub Prime,633,62883.25,10.79,36,4,2026-01-13,2026-05-10,1,SC,Marcus Webb
CUST-00051,David Lopez,Indirect Auto,Tier 3 - Near Prime,674,11114.08,8.48,60,57,2021-08-30,2026-05-28,0,MO,James Okafor
CUST-00052,Mohammed Mitchell,Direct Auto,Tier 4 - Poor,585,35357.65,10.6,60,3,2026-02-04,2026-05-16,0,SC,Marcus Webb
